,Buy
3605,1
10664,1
9266,0
5957,1
11218,1
3768,0
7307,1
8482,1
4038,1
3502,1
1407,0
4631,0
6369,0
7087,1
4935,1
7514,0
12179,1
2579,1
10402,0
3269,0
11825,1
1867,0
5550,0
12265,1
6348,0
2521,1
6834,1
1820,0
12142,0
51,1
3888,0
5187,0
8305,0
3577,0
4565,1
7964,1
10004,0
10187,1
6552,1
1858,0
12130,1
11797,1
4961,0
7976,0
8622,1
8897,0
12110,0
5198,1
7539,1
425,1
4284,1
8422,1
6703,1
228,0
11290,0
2741,0
5137,1
10823,1
6341,0
7915,1
2921,1
5718,1
8446,1
5583,1
12189,1
3653,0
11870,0
9870,1
1128,1
7810,1
2331,1
2208,0
10581,1
11844,1
10050,1
3153,1
6890,1
9699,0
8832,0
11888,0
4990,1
2374,1
1632,1
7443,1
2298,1
7748,1
4252,0
12043,1
2721,1
9451,1
6435,1
7627,0
1736,0
5932,0
11097,1
5736,0
8439,0
6205,0
5094,0
2640,1
11126,0
8250,1
8349,1
10056,1
2550,1
6508,1
9838,1
938,0
7840,1
10963,0
12332,1
12033,0
4852,1
2644,1
10814,0
3165,1
3639,1
5069,0
6495,1
9469,1
2061,0
4645,1
6606,0
2812,0
11609,0
10687,0
11963,1
11334,0
2549,0
10950,0
7436,0
11441,0
10484,0
4174,0
5958,0
10833,1
1024,1
4848,1
6176,0
11015,1
1951,0
11230,0
351,0
10419,0
10649,0
5480,1
11068,1
4797,1
5985,0
3662,0
7731,1
4657,1
6062,1
3150,0
7344,0
6611,1
4813,1
6286,0
8730,1
5143,1
2939,0
7334,1
4510,1
1340,1
11596,1
1391,0
7791,0
7111,0
9609,1
10120,1
7476,0
6775,1
1583,1
1412,1
6323,1
10829,1
2256,1
9170,1
8158,0
2212,0
5603,0
2622,1
12152,0
5417,0
4938,0
9045,1
3624,0
6580,1
4267,1
11110,0
463,0
1754,0
7065,0
5638,0
7933,1
10544,0
7722,0
378,0
3106,0
4803,1
1335,0
10887,0
11996,1
2716,1
7689,0
9570,0
7785,0
8500,1
7453,1
9236,1
1811,1
9139,0
7066,1
1894,1
11075,1
11373,1
7816,1
6948,0
1189,1
5194,1
8285,0
9571,0
9646,0
3454,0
8146,0
6984,0
6148,0
11187,1
6650,1
10363,0
4613,1
3992,1
11442,0
1030,0
7153,0
2220,0
3774,1
12326,1
9587,0
1755,0
6576,1
9051,1
8679,1
4327,1
10571,0
110,0
11735,0
9180,1
5731,1
2917,1
6604,1
1515,0
11689,0
11400,1
11201,1
10401,0
2263,0
6952,1
9798,1
10506,0
10382,1
893,1
1490,1
1850,1
11467,0
7765,0
324,1
1215,0
2933,0
4689,0
9159,1
8889,1
10620,1
11358,1
12034,1
1129,0
7372,0
2918,0
6143,0
3084,1
4588,1
4304,1
2795,1
6117,1
798,1
734,1
6255,1
2244,0
178,1
8573,0
9380,0
1174,1
8805,0
8587,0
1831,0
11325,1
11040,1
9938,1
1781,1
3201,1
198,1
10151,0
4087,1
5193,1
548,1
3339,1
11673,1
7048,1
10675,1
7316,0
2532,1
9810,1
2314,1
